Servicedescription;Totalsales;Giorni Prenotazione;Compagnia;Travel From;Travel To;Tipoviaggio
Hotel;221,05;5;HILTON GARDEN INN KO;KONYA;KONYA;No_Tipoviaggio
Hotel;332,58;10;IBIS MOUSSAFIR AGADI;AGADIR;AGADIR;No_Tipoviaggio
Hotel;61,3;1;IBIS BUDAPEST AERO;BUDAPEST;BUDAPEST;No_Tipoviaggio
Hotel;191,7;2;BEST WESTERN KER LAN;BRUZ;BRUZ;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
Hotel;250;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Auto;193,61;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
Hotel;411;3;CROWNE PLAZA TOULOUS;TOULOUSE;TOULOUSE;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Auto;93,94;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Aereo;111,84;1;V7;CATANIA;CAGLIARI;OW
Hotel;411;3;CROWNE PLAZA TOULOUS;TOULOUSE;TOULOUSE;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;65,6;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
Hotel;84,98;1;IBIS STYLES HYERES C;HYERES;HYERES;No_Tipoviaggio
Hotel;-239,51;2;BRIDGE;LONDRA;LONDRA;No_Tipoviaggio
Hotel;221;5;HILTON GARDEN INN KO;KONYA;KONYA;No_Tipoviaggio
FFSS;56,1;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;65,6;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
Aereo;41,12;1;V7;CAGLIARI;CATANIA;OW
Aereo;46,26;1;V7;CAGLIARI;CATANIA;OW
Aereo;133,12;1;V7;CAGLIARI;CATANIA;OW
Aereo;162,79;2;AZ;CATANIA;CAGLIARI;OW
FFSS;78,3;1;FFSS;ROMA;GENOVA;No_Tipoviaggio
FFSS;76,5;1;FFSS;CHIAVARI;ROMA;No_Tipoviaggio
Auto;42,7;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;264;2;PARKER HOTEL BRUSSEL;DIEGEM;DIEGEM;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
Hotel;328,05;3;MENTANA;MILANO;MILANO;No_Tipoviaggio
Auto;402,58;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;504,42;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;84,98;1;IBIS STYLES HYERES C;HYERES;HYERES;No_Tipoviaggio
FFSS;51,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Aereo;136,66;2;FR;CIAMPINO;ATENE;RT
Hotel;532;5;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
Hotel;256,5;3;MENTANA;MILANO;MILANO;No_Tipoviaggio
Aereo;139,39;1;FR;FIUMICINO;TRAPANI;OW
Auto;634,68;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;114;1;FFSS;ROMA;TRENTO;No_Tipoviaggio
FFSS;69;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;45;1;FFSS;TRENTO;BOLOGNA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
Hotel;366;3;AQUABELLA;AIX EN PROVENCE;AIX EN PROVENCE;No_Tipoviaggio
Hotel;113,65;1;IBIS ORLY AEROPORT;PARAY VIEILLE P;PARAY VIEILLE P;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;56,1;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;2,6;1;FFSS;LANUVIO;ROMA;No_Tipoviaggio
FFSS;65,6;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
FFSS;2,6;1;FFSS;ROMA;LANUVIO;No_Tipoviaggio
Aereo;131,84;1;V7;CATANIA;CAGLIARI;OW
Auto;181,62;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;1775,39;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;1012,33;4;THE BOULEVARD ARJAAN;AMMAN;AMMAN;No_Tipoviaggio
FFSS;9;1;FFSS;NAPOLI;SALERNO;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;39;1;FFSS;SALERNO;ROMA;No_Tipoviaggio
FFSS;31,4;1;FFSS;ANCONA;BOLOGNA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;27,6;1;FFSS;BOLOGNA;PADOVA;No_Tipoviaggio
Auto;242,73;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;256,72;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Auto;158,91;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;426,56;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;248;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;1042;10;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
Auto;189,11;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;272,45;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;70,7;1;FFSS;ROMA;LA SPEZIA;No_Tipoviaggio
FFSS;70,7;1;FFSS;LA SPEZIA;ROMA;No_Tipoviaggio
Auto;352,67;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
FFSS;54;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
FFSS;54;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Auto;342,61;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;119;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;119;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;114;1;FFSS;ROMA;TRENTO;No_Tipoviaggio
FFSS;69;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;45;1;FFSS;TRENTO;BOLOGNA;No_Tipoviaggio
Aereo;90,17;1;No_Compagnia;MILANO;FIUMICINO;OW
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Hotel;71,25;1;COMFORT HOTEL ORLY D;DRAVEIL;DRAVEIL;No_Tipoviaggio
Aereo;149,73;1;V7;PALERMO;VENEZIA;OW
Aereo;133,18;1;V7;VENEZIA;PALERMO;OW
Hotel;411;3;CROWNE PLAZA TOULOUS;TOULOUSE;TOULOUSE;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;29;1;FFSS;MILANO;GENOVA;No_Tipoviaggio
FFSS;7,75;1;FFSS;TRENTO;VERONA;No_Tipoviaggio
FFSS;30,6;1;FFSS;VERONA;MILANO;No_Tipoviaggio
FFSS;51,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Aereo;79,3;1;OA;KRAPATHOS;ATENE;OW
Auto;242,84;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;1042;10;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
Hotel;532;5;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
Hotel;1042;10;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
Hotel;-1042;10;RADISSON BLU PARK;ATENE;ATENE;No_Tipoviaggio
Nave;153,57;0;No_Compagnia;No_Travel From;No_Travel To;No_Tipoviaggio
Nave;153,57;0;No_Compagnia;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;54;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;54;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Hotel;318,09;2;PHOENIX COPENHAGEN;COPENHAGEN;COPENHAGEN;No_Tipoviaggio
Auto;301,02;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;78,93;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;114;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;114;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Hotel;139;1;SCANDIC GRAND PLACE;BRUXELLES;BRUXELLES;No_Tipoviaggio
Hotel;318,09;2;PHOENIX COPENHAGEN;COPENHAGEN;COPENHAGEN;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;98,1;1;FFSS;BRESCIA;ROMA;No_Tipoviaggio
FFSS;27,6;1;FFSS;MILANO;BRESCIA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
Aereo;1973,14;2;TX;PARIGI;CAYENNE;RT
Aereo;120,28;1;YT;FIUMICINO;PARIGI;OW
Hotel;95;1;IBIS ORLY AEROPORT;PARAY VIEILLE P;PARAY VIEILLE P;No_Tipoviaggio
FFSS;93,6;1;FFSS;PADOVA;ROMA;No_Tipoviaggio
FFSS;93,6;1;FFSS;ROMA;PADOVA;No_Tipoviaggio
FFSS;-107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
Aereo;201,56;2;No_Compagnia;MILANO;FIUMICINO;RT
Auto;203,29;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Auto;297,39;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;14,4;1;FFSS;MILANO;NOVARA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;14,4;1;FFSS;NOVARA;MILANO;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
Hotel;134,08;4;IBIS MOUSSAFIR AGADI;AGADIR;AGADIR;No_Tipoviaggio
Hotel;-134,08;4;IBIS MOUSSAFIR AGADI;AGADIR;AGADIR;No_Tipoviaggio
Auto;156;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;19,3;1;FFSS;VENEZIA;TRIESTE;No_Tipoviaggio
FFSS;67,5;1;FFSS;TRIESTE;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
Hotel;74;1;DOMIDEA;ROMA;ROMA;No_Tipoviaggio
Hotel;130;2;IH HOTELS ROMA Z3;ROMA;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;FIRENZE;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;ROMA;FIRENZE;No_Tipoviaggio
Auto;215,95;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;14;1;FFSS;FIUMICINO;ROMA;No_Tipoviaggio
FFSS;14;1;FFSS;ROMA;FIUMICINO;No_Tipoviaggio
Auto;2599,96;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Aereo;43,3;1;OA;KRAPATHOS;ATENE;OW
Hotel;250;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Hotel;258,47;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Hotel;-250;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Hotel;330;2;HYATT REGENCY BELGRA;BELGRADE;BELGRADE;No_Tipoviaggio
Hotel;-330;2;HYATT REGENCY BELGRA;BELGRADE;BELGRADE;No_Tipoviaggio
Auto;387,21;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;885,67;4;THE BOULEVARD ARJAAN;AMMAN;AMMAN;No_Tipoviaggio
FFSS;4,8;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
FFSS;-56,1;1;FFSS;ROMA;BOLOGNA;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Auto;452,17;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
Hotel;250;2;BOHEM ART;BUDAPEST;BUDAPEST;No_Tipoviaggio
Auto;299,02;0;AVIS BUDGET ITALIA S;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;9;1;FFSS;NAPOLI;SALERNO;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;39;1;FFSS;SALERNO;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;FIRENZE;ROMA;No_Tipoviaggio
FFSS;52,3;1;FFSS;ROMA;FIRENZE;No_Tipoviaggio
FFSS;65,6;1;FFSS;BOLOGNA;ROMA;No_Tipoviaggio
FFSS;70;1;FFSS;ROMA;MEDIOPADANA;No_Tipoviaggio
FFSS;39,5;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;39,5;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Auto;278,08;0;HERTZ ITALIANA SRL;No_Travel From;No_Travel To;No_Tipoviaggio
Aereo;98,05;1;No_Compagnia;FIUMICINO;MILANO;OW
Hotel;-90;1;NOVOTEL VENEZIA MEST;VENEZIA;VENEZIA;No_Tipoviaggio
FFSS;108;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;79,8;1;FFSS;BRESCIA;ROMA;No_Tipoviaggio
FFSS;27,6;1;FFSS;MILANO;BRESCIA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;51,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
FFSS;102,6;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
Aereo;247,22;2;No_Compagnia;FIUMICINO;PARIGI;RT
Hotel;136;1;HILTON PARIS ORLY AI;PARAY VIEILLE P;PARAY VIEILLE P;No_Tipoviaggio
Aereo;76;2;A3;FIUMICINO;ATENE;RT
FFSS;107,1;1;FFSS;ROMA;TRIESTE;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;7,55;1;FFSS;MILANO;VERCELLI;No_Tipoviaggio
FFSS;119;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;14,7;1;FFSS;VERCELLI;MILANO;No_Tipoviaggio
Nave;260,8;0;No_Compagnia;No_Travel From;No_Travel To;No_Tipoviaggio
Nave;260,8;0;No_Compagnia;No_Travel From;No_Travel To;No_Tipoviaggio
FFSS;114;1;FFSS;ROMA;VENEZIA;No_Tipoviaggio
FFSS;102,6;1;FFSS;VENEZIA;ROMA;No_Tipoviaggio
FFSS;107,1;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;107,1;1;FFSS;MILANO;ROMA;No_Tipoviaggio
Aereo;114,65;1;FR;FIUMICINO;TRAPANI;OW
FFSS;119;1;FFSS;ROMA;MILANO;No_Tipoviaggio
FFSS;119;1;FFSS;MILANO;ROMA;No_Tipoviaggio
FFSS;51,3;1;FFSS;NAPOLI;ROMA;No_Tipoviaggio
FFSS;51,3;1;FFSS;ROMA;NAPOLI;No_Tipoviaggio
Aereo;326,35;4;AZ;CAGLIARI;CATANIA;RT
Aereo;137,58;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;300,19;4;TK;FIUMICINO;KONYA;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;302,86;2;AZ;FIUMICINO;TEL AVIV;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;750,09;4;AT;FIUMICINO;AGADIR;RT
Aereo;306,35;4;LH;FIUMICINO;BUDAPEST;RT
Aereo;90,88;2;No_Compagnia;NAPOLI;VENEZIA;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;985,87;4;KL;FIUMICINO;RENNES;RT
Aereo;60;2;AZ;CATANIA;CAGLIARI;OW
Aereo;162,79;2;AZ;CATANIA;CAGLIARI;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;256,75;2;AZ;FIUMICINO;BUDAPEST;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;137,58;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;429,42;4;AF;FIUMICINO;TOLOUSE;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;551,13;2;AZ;FIUMICINO;TORINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;120;4;AZ;CAGLIARI;CATANIA;RT
Aereo;326,35;4;AZ;CAGLIARI;CATANIA;RT
Aereo;137,58;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;429,42;4;AF;FIUMICINO;TOLOUSE;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;404,31;4;TK;FIUMICINO;ESENBOGA;RT
Aereo;335,82;4;AZ;CAGLIARI;NIZZA;RT
Aereo;137,58;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;300,19;4;TK;FIUMICINO;KONYA;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;151,8;2;IG;OLBIA;FIUMICINO;RT
Aereo;60;2;AZ;CATANIA;CAGLIARI;OW
Aereo;892,31;4;LH;FIUMICINO;ESENBOGA;RT
Aereo;326,35;4;AZ;CAGLIARI;CATANIA;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;120;4;AZ;CAGLIARI;CATANIA;RT
Aereo;326,35;4;AZ;CAGLIARI;CATANIA;RT
Aereo;74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;68,84;1;IG;OLBIA;FIUMICINO;OW
Aereo;-74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;-58,84;1;IG;OLBIA;FIUMICINO;OW
Aereo;643,88;2;AZ;FIUMICINO;PARIGI;RT
Aereo;248,87;2;AZ;FIUMICINO;BRUXELLES;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;137,58;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;335,82;4;AZ;CAGLIARI;NIZZA;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;129,73;1;AZ;PALERMO;FIUMICINO;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;68,84;1;IG;OLBIA;FIUMICINO;OW
Aereo;57,12;1;AZ;CAGLIARI;FIUMICINO;OW
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;596,1;3;AZ;FIUMICINO;BRUXELLES;RT
Aereo;416,69;2;AZ;FIUMICINO;PALERMO;RT
Aereo;74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;68,84;1;IG;OLBIA;FIUMICINO;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;-74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;-132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;-58,84;1;IG;OLBIA;FIUMICINO;OW
Aereo;129,73;1;AZ;PALERMO;FIUMICINO;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;-132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;56,34;1;FR;FIUMICINO;MARSEILLE;OW
Aereo;98,08;1;AZ;MARSEILLE;FIUMICINO;OW
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;5227,49;4;AF;FIUMICINO;CAYENNE;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;178,27;2;AZ;CAGLIARI;CATANIA;OW
Aereo;56,84;1;AZ;CATANIA;FIUMICINO;OW
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;210,16;2;AZ;FIUMICINO;BRINDISI;RT
Aereo;684,76;2;KL;FIUMICINO;AMSTERDAM;RT
Aereo;721,81;2;AZ;FIUMICINO;AMSTERDAM;RT
Aereo;112,41;1;FR;FIUMICINO;LAMEZIA TERME;OW
Aereo;603,53;4;AZ;CAGLIARI;ATENE;RT
Aereo;817,31;4;LH;FIUMICINO;ESENBOGA;RT
Aereo;74,96;1;AZ;FIUMICINO;CAGLIARI;OW
Aereo;196,73;1;FR;CAGLIARI;BERGAMO;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;343,67;2;AZ;FIUMICINO;ATENE;RT
Aereo;-259,59;2;SN;FIUMICINO;BRUXELLES;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;259,7;1;RJ;FIUMICINO;AMMAN;OW
Aereo;395,56;2;A3;AMMAN;FIUMICINO;OW
Aereo;1985,67;4;CX;FIUMICINO;TAIPEI;RT
Aereo;962,31;2;KL;FIUMICINO;AMSTERDAM;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;-132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;302,79;2;AZ;FIUMICINO;TEL AVIV;RT
Aereo;188,67;2;AZ;FIUMICINO;ATENE;RT
Aereo;119,96;1;AZ;FIUMICINO;MILANO;OW
Aereo;200,99;1;AZ;MILANO;FIUMICINO;OW
Aereo;71,96;1;AZ;FIUMICINO;MILANO;OW
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;-132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;132,08;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;82,96;1;IG;FIUMICINO;OLBIA;OW
Aereo;57,12;1;AZ;CAGLIARI;FIUMICINO;OW
Aereo;132,08;2;AZ;CAGLIARI;FIUMICINO;RT
Aereo;4872,08;4;AF;FIUMICINO;CAYENNE;RT
Aereo;137,58;2;AZ;FIUMICINO;CAGLIARI;RT
Aereo;93,13;2;AZ;VENEZIA;PALERMO;OW
Aereo;125,9;1;FR;PALERMO;TREVISO;OW
Aereo;429,42;4;AF;FIUMICINO;TOLOUSE;RT
Aereo;218,8;2;AZ;FIUMICINO;CATANIA;RT
Aereo;188,67;2;AZ;FIUMICINO;ATENE;RT
Aereo;127;1;AZ;ATENE;FIUMICINO;OW
Aereo;187,8;2;AZ;FIUMICINO;CATANIA;RT
Aereo;132,3;2;AZ;FIUMICINO;CATANIA;RT
